Marca;Cilindros;Potencia (HP);Tamaño (L);R. Ciudad (km/l);R. Carr. (km/l);R. Comb. (km/l);R. Ajust. (km/l);CO2(g/km);Calificación Gas Ef. Inv.
FORD;4;188;2;27,44;28,57;28,93;21,7;107;10
FORD;4;188;2;27,44;28,57;28,93;21,7;107;10
FORD;4;188;2;25,62;24,77;25,23;18,92;123;10
FORD;4;188;2;25,62;24,77;25,23;18,92;123;10
FORD;4;156;2,5;24;21,9;23,01;17,26;135;9
FORD;4;156;2,5;24;21,9;23,01;17,26;135;9
HONDA;4;90;1,5;23,8;26,7;26,15;19,61;119;10
HONDA;4;90;1,5;23,8;26,7;26,15;19,61;119;10
HONDA;4;90;1,5;23,2;26,1;24,42;18,32;127;9
HONDA;4;110;1,3;21,8;25,4;23,29;17,46;134;9
SEAT;4;105;1,2;17,5;22,8;19,54;14,66;159;8
SEAT;4;125;1,4;17,3;27;20,64;15,48;151;9
SEAT;4;125;1,4;17,3;27;20,64;15,48;151;9
MAZDA;4;102;1,5;17,3;24;19,79;14,84;157;8
MAZDA;4;106;1,5;17,3;24;21,1;15,83;147;9
MAZDA;4;106;1,5;17,3;24;21,1;15,83;147;9
MAZDA;4;106;1,5;17,3;24;21,1;15,83;147;9
MAZDA;4;106;1,5;17,3;24;21,1;15,83;147;9
MAZDA;4;106;1,5;17,3;24;21,1;15,83;147;9
CHEVROLET;4;148;1,4;17,14;28,41;22,15;16,61;140;9
CHEVROLET;4;148;1,4;17,14;28,41;22,15;16,61;140;9
VW;4;140;1,4;17,1;27,9;20,71;15,53;150;9
VW;4;140;2;17;26,1;21,47;16,1;166;8
VW;4;140;2;17;26,1;21,47;16,1;166;8
CHEVROLET;4;148;1,4;16,99;27,12;21,72;16,29;143;9
SEAT;4;110;1,2;16,9;26,7;20,24;15,18;154;8
SEAT;4;110;1,2;16,9;26,7;20,24;15,18;154;8
CHEVROLET;4;107;1,5;16,59;24,15;20,64;15,48;151;9
CHEVROLET;4;107;1,5;16,59;24,15;20,64;15,48;151;9
SUZUKI;4;118;1,6;16,5;21,7;18,49;13,87;168;8
SUZUKI;4;118;1,6;16,5;21,7;18,49;13,87;168;8
SUZUKI;4;118;1,6;16,5;21,7;18,49;13,87;168;8
CHEVROLET;4;148;1,4;16,45;26,88;19,93;14,95;156;8
MAZDA;4;102;1,5;16,3;23,5;18,91;14,18;164;8
MAZDA;4;106;1,5;16,3;23,5;20,24;15,18;154;8
MAZDA;4;106;1,5;16,3;23,5;20,24;15,18;154;8
MAZDA;4;106;1,5;16,3;23,5;20,24;15,18;154;8
VW;4;140;1,4;16,2;26,7;19,68;14,76;158;8
CHEVROLET;4;148;1,4;16,14;26,1;20,81;15,61;149;9
SUZUKI;4;118;1,6;16;19,9;17,55;13,16;177;8
SUZUKI;4;118;1,6;16;19,9;17,55;13,16;177;8
VW;4;150;1,4;15,9;25,2;19,07;14,3;163;8
VW;4;150;1,4;15,9;25,2;19,07;14,3;163;8
CHEVROLET;4;148;1,4;15,84;25,87;19,19;14,39;162;8
NISSAN;4;129;1,8;15,7;23,25;18,39;13,79;169;8
MAZDA;4;153;2;15,7;23,7;19,86;14,89;157;8
